code,name,industry,year,net_profit_margin,revenue_growth,roe
000063,中兴通讯,通讯,2021,6.1437,12.8841,13.23
000063,中兴通讯,通讯,2022,6.337,7.3635,13.78
000063,中兴通讯,通讯,2023,7.4373,1.0544,13.71
000063,中兴通讯,通讯,2024,6.8885,-2.3759,11.57
000063,中兴通讯,通讯,2025,4.1563,10.3849,7.45
000560,我爱我家,房地产,2021,1.0932,24.9394,1.57
000560,我爱我家,房地产,2022,-2.8425,-2.4197,-2.97
000560,我爱我家,房地产,2023,-7.0293,3.5836,-8.96
000560,我爱我家,房地产,2024,0.5587,3.6749,0.78
000560,我爱我家,房地产,2025,-0.8586,-16.4042,-1.04
000625,长安汽车,汽车,2021,3.428,24.3318,6.37
000625,长安汽车,汽车,2022,6.3872,15.3231,12.41
000625,长安汽车,汽车,2023,6.2803,24.7787,15.76
000625,长安汽车,汽车,2024,3.8215,5.5753,9.56
000625,长安汽车,汽车,2025,1.9314,2.6712,5.27
000799,酒鬼酒,白酒,2021,26.1685,86.9685,25.35
000799,酒鬼酒,白酒,2022,25.8937,18.6286,25.26
000799,酒鬼酒,白酒,2023,19.3596,-30.1387,12.8
000799,酒鬼酒,白酒,2024,0.8778,-49.6998,0.31
000799,酒鬼酒,白酒,2025,-3.0647,-22.165,-0.91
300136,信维通信,通讯,2021,6.8597,18.5772,8.45
300136,信维通信,通讯,2022,7.6474,13.3025,9.85
300136,信维通信,通讯,2023,6.9477,-12.1337,7.42
300136,信维通信,通讯,2024,7.4906,15.8455,9.05
300136,信维通信,通讯,2025,7.9199,1.9005,8.94
600246,万通发展,房地产,2021,22.1447,-40.3057,2.63
600246,万通发展,房地产,2022,-81.2135,-48.0935,-5.37
600246,万通发展,房地产,2023,-79.3889,15.4042,-6.93
600246,万通发展,房地产,2024,-92.7835,1.5873,-8.83
600246,万通发展,房地产,2025,-146.0021,-6.3945,-14.09
600519,贵州茅台,白酒,2021,52.4724,11.8788,27.68
600519,贵州茅台,白酒,2022,52.6795,16.8657,31.75
600519,贵州茅台,白酒,2023,52.488,19.0119,34.65
600519,贵州茅台,白酒,2024,52.2734,15.712,36.99
600519,贵州茅台,白酒,2025,50.5279,-1.206,33.65
600578,京能电力,能源,2021,-17.4128,10.6457,-14.4
600578,京能电力,能源,2022,3.0439,37.0932,3.29
600578,京能电力,能源,2023,3.3012,7.8478,3.19
600578,京能电力,能源,2024,6.4565,7.7566,6.09
600578,京能电力,能源,2025,12.6363,-0.0065,12.36
601016,节能风电,能源,2021,22.7106,32.6816,7.2
601016,节能风电,能源,2022,33.306,48.074,10.32
601016,节能风电,能源,2023,31.0112,-2.3718,9.01
601016,节能风电,能源,2024,27.2814,-1.7383,7.58
601016,节能风电,能源,2025,15.9742,-10.5737,3.92
601127,赛力斯,汽车,2021,-15.7365,16.8883,-22.91
601127,赛力斯,汽车,2022,-15.3073,104.0026,-33.55
601127,赛力斯,汽车,2023,-11.5973,5.093,-21.48
601127,赛力斯,汽车,2024,3.2651,305.0443,48.48
601127,赛力斯,汽车,2025,3.7241,13.6922,14.56
