month,indicator,value
2020-01,cpi_yoy,4.5
2020-02,cpi_yoy,5.4
2020-03,cpi_yoy,5.2
2020-04,cpi_yoy,4.3
2020-05,cpi_yoy,3.3
2020-06,cpi_yoy,2.4
2020-07,cpi_yoy,2.5
2020-08,cpi_yoy,2.7
2020-09,cpi_yoy,2.4
2020-10,cpi_yoy,1.7
2020-11,cpi_yoy,0.5
2020-12,cpi_yoy,-0.5
2021-01,cpi_yoy,0.2
2021-02,cpi_yoy,-0.3
2021-03,cpi_yoy,-0.2
2021-04,cpi_yoy,0.4
2021-05,cpi_yoy,0.9
2021-06,cpi_yoy,1.3
2021-07,cpi_yoy,1.1
2021-08,cpi_yoy,1.0
2021-09,cpi_yoy,0.8
2021-10,cpi_yoy,0.7
2021-11,cpi_yoy,1.5
2021-12,cpi_yoy,2.3
2022-01,cpi_yoy,1.5
2022-02,cpi_yoy,0.9
2022-03,cpi_yoy,0.9
2022-04,cpi_yoy,1.5
2022-05,cpi_yoy,2.1
2022-06,cpi_yoy,2.1
2022-07,cpi_yoy,2.5
2022-08,cpi_yoy,2.7
2022-09,cpi_yoy,2.5
2022-10,cpi_yoy,2.8
2022-11,cpi_yoy,2.1
2022-12,cpi_yoy,1.6
2023-01,cpi_yoy,1.8
2023-02,cpi_yoy,2.1
2023-03,cpi_yoy,1.0
2023-04,cpi_yoy,0.7
2023-05,cpi_yoy,0.1
2023-06,cpi_yoy,0.2
2023-07,cpi_yoy,0.0
2023-08,cpi_yoy,-0.3
2023-09,cpi_yoy,0.1
2023-10,cpi_yoy,0.0
2023-11,cpi_yoy,-0.2
2023-12,cpi_yoy,-0.5
2024-01,cpi_yoy,-0.3
2024-02,cpi_yoy,-0.8
2024-03,cpi_yoy,0.7
2024-04,cpi_yoy,0.1
2024-05,cpi_yoy,0.3
2024-06,cpi_yoy,0.3
2024-07,cpi_yoy,0.2
2024-08,cpi_yoy,0.5
2024-09,cpi_yoy,0.6
2024-10,cpi_yoy,0.4
2024-11,cpi_yoy,0.3
2024-12,cpi_yoy,0.2
2025-01,cpi_yoy,0.1
2025-01,cpi_yoy,
2025-02,cpi_yoy,0.5
2025-03,cpi_yoy,-0.7
2025-04,cpi_yoy,-0.1
2025-05,cpi_yoy,-0.1
2025-06,cpi_yoy,-0.1
2025-07,cpi_yoy,0.1
2025-08,cpi_yoy,0.0
2025-09,cpi_yoy,
2020-01,m2_yoy,8.4
2020-02,m2_yoy,8.8
2020-03,m2_yoy,10.1
2020-04,m2_yoy,11.1
2020-05,m2_yoy,11.1
2020-06,m2_yoy,11.1
2020-07,m2_yoy,10.7
2020-08,m2_yoy,10.4
2020-09,m2_yoy,10.9
2020-10,m2_yoy,10.5
2020-11,m2_yoy,10.7
2020-12,m2_yoy,10.1
2021-01,m2_yoy,9.4
2021-02,m2_yoy,10.1
2021-03,m2_yoy,9.4
2021-04,m2_yoy,8.1
2021-05,m2_yoy,8.3
2021-06,m2_yoy,8.6
2021-07,m2_yoy,8.3
2021-08,m2_yoy,8.2
2021-09,m2_yoy,8.3
2021-10,m2_yoy,8.7
2021-11,m2_yoy,8.5
2021-12,m2_yoy,9.0
2022-01,m2_yoy,9.8
2022-02,m2_yoy,9.2
2022-03,m2_yoy,9.7
2022-04,m2_yoy,10.5
2022-05,m2_yoy,11.1
2022-06,m2_yoy,11.4
2022-07,m2_yoy,12.0
2022-08,m2_yoy,12.2
2022-09,m2_yoy,12.1
2022-10,m2_yoy,11.8
2022-11,m2_yoy,12.4
2022-12,m2_yoy,11.8
2023-01,m2_yoy,12.6
2023-02,m2_yoy,12.9
2023-03,m2_yoy,12.7
2023-04,m2_yoy,12.4
2023-05,m2_yoy,11.6
2023-06,m2_yoy,11.3
2023-07,m2_yoy,10.7
2023-08,m2_yoy,10.6
2023-09,m2_yoy,10.3
2023-10,m2_yoy,10.3
2023-11,m2_yoy,10.0
2023-12,m2_yoy,9.7
2024-01,m2_yoy,8.7
2024-02,m2_yoy,8.7
2024-03,m2_yoy,8.3
2024-04,m2_yoy,7.2
2024-05,m2_yoy,7.0
2024-06,m2_yoy,6.2
2024-07,m2_yoy,6.3
2024-08,m2_yoy,6.3
2024-09,m2_yoy,6.8
2024-10,m2_yoy,7.5
2024-11,m2_yoy,7.1
2024-12,m2_yoy,7.3
2025-01,m2_yoy,7.0
2025-02,m2_yoy,7.0
2025-03,m2_yoy,7.0
2025-04,m2_yoy,8.0
2025-05,m2_yoy,7.9
2025-06,m2_yoy,8.3
2025-07,m2_yoy,8.8
2025-08,m2_yoy,8.8
2025-09,m2_yoy,8.4
2025-10,m2_yoy,8.2
2025-11,m2_yoy,8.0
2025-12,m2_yoy,8.5
2026-01,m2_yoy,9.0
2026-02,m2_yoy,9.0
2026-03,m2_yoy,8.5
2026-04,m2_yoy,8.6
