股票,代码,行业,年化均值,年化波动率,偏度,峰度,最大回撤
我爱我家,000560,房地产,-0.05607926809871489,0.48264869677328553,0.48813463560127085,2.2317284449546975,-0.7212936046511628
万通发展,600246,房地产,0.14556733335533137,0.5738950816532062,0.04590600288423363,1.2153726736020638,-0.6519390314489678
长安汽车,000625,汽车,0.0805410451124202,0.4764722835112602,0.33210097454602927,2.223801409161811,-0.599559118236473
赛力斯,601127,汽车,0.32710814467303934,0.6168699563656208,0.35801789723667,0.8576150915752403,-0.7171218602610507
酒鬼酒,000799,白酒,0.03382488562657303,0.48696767417167797,0.36424851837316985,1.9152607574604845,-0.8678452805651723
贵州茅台,600519,白酒,0.05052673393698514,0.27616923232939916,0.2586270681674595,3.6246365866747645,-0.474821623998807
京能电力,600578,能源,0.16016834923148027,0.3278789223454874,0.559130978772361,5.100246085085457,-0.3860971524288107
节能风电,601016,能源,0.16046339530022086,0.4059301189536596,0.4553960505426262,4.6300756335609226,-0.6057579318448884
中兴通讯,000063,通讯,0.01886453374931249,0.4257183257412634,0.30940991885405345,2.4454361867715595,-0.6186684031299037
信维通信,300136,通讯,0.1272686211567575,0.5303189258204246,0.25966669928966535,5.473152309264446,-0.7864153534683826
